Вакансия,URL,Компания,Описание
React.js Developer,https://hh.ru/vacancy/30614130?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Godel Technologies Europe,Ensuring development adheres to industry standards. Producing documentation to support other team members. Producing estimates on future development to support... 2+ years’ experience in commercial development. Strong understanding of full lifecycle development process. Good knowledge in React.JS + whatever...
Senior PHP Developer,https://hh.ru/vacancy/30614203?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Godel Technologies Europe,Democracy — take part in shaping the future of the company. Must have: 3+ years’ experience in commercial development. Strong understanding of the full lifecycle of the development process. 
Middle / Senior IOS Developer,https://hh.ru/vacancy/30620114?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Godel Technologies Europe,Democracy — take part in shaping the future of the company. Must have: Good knowledge of Swift. Object oriented software development experience with a good understanding of algorithms and data structures...
Middle / Senior / Lead .NET Developer,https://hh.ru/vacancy/30614181?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Godel Technologies Europe,Democracy — take part in shaping the future of the company. Must have: 2+ years’ experience in commercial development. Strong understanding of full lifecycle development process. Good knowledge in NodeJS...
Middle / Senior / Lead Android Developer,https://hh.ru/vacancy/30620085?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Godel Technologies Europe,"Democracy — take part in shaping the future of the company. Unit Testing and TDD/BDD. Object oriented software development experience with a good understanding of algorithms and data structures, and..."
Full-stack ASP.NET Developer (Middle / Senior),https://hh.ru/vacancy/32400956?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Пилипчук Дмитрий,"Анализ требований заказчика, разработка архитектуры приложения и БД. Консультирование коллег по техническим вопросам в сфере своей компетенции. Работа в команде. Знание C#, ООП, MSSQL. Опыт использования: ASP.NET CORE MVC, WebAPI, Entity Framework, LINQ, HTML, CSS, JavaScript, jQuery, Bootstrap, ES 6..."
Программист Delphi и MS SQL,https://hh.ru/vacancy/28184189?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ЕВРООПТ,"Разработка ПО для бизнес процессов компании ERP, Дисконтная программа, WMS. ПО для различных устройств розничного и оптового бизнеса, производства.  Владение техниками программирования. Умение писать простой, эффективный код. Отличное знание и понимание ООП. Отличное знание Delphi. Отличное знание MS SQL..."
Node.js Developer (Brest),https://hh.ru/vacancy/30203669?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, iTechArt Group,New feature development. Analysis and preparation of technical solutions. Refactoring and redesign of existing features. Communication with customers (Agile methodology).  1+ years’ experience in Node.js development. Good knowledge of JavaScript. Experience working with one of the web frameworks (Express.js...
Программист 1С 8.3,https://hh.ru/vacancy/32356368?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ПроБелТах,Доработка конфигураций под нужды предприятия и законодательство. Поиск и исправление ошибок в конфигурациях. Создание и доработка модулей по интеграции с... Уверенное знание языка программирования 1С 8.х (плюсом будет знание 7.7); опыт работы от 2-х лет. 
Инженер-программист 1С,https://hh.ru/vacancy/30278299?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ЕВРООПТ,"Разработка, тестирование, внедрение ПО на базе 1С 8.х. Разработка обменов данными, механизмов интеграции. Разработка проектной документации (технические задания... От 3 лет программирование на 1С8.х. Глубокое знание платформы 1С8: регистры, запросы, план счетов; механизмы..."
